,0
139,0.0305123183876276
140,0.028013823367655278
141,0.02684246897697449
142,0.028553208336234093
143,0.02749220412224531
144,0.02866562232375145
145,0.025859743170440198
146,0.029056938737630843
147,0.028175267018377782
148,0.027541550621390343
149,0.02642248496413231
150,0.02936329636722803
151,0.026154722645878793
152,0.026390204578638075
153,0.024976270273327827
154,0.026164726726710795
155,0.02715579103678465
156,0.027853021770715712
157,0.027141145803034304
158,0.026852276735007764
159,0.028441262245178223
160,0.026901222579181195
161,0.02728920429944992
162,0.026150273531675337
163,0.026452749967575073
164,0.02496381998062134
165,0.024660079553723336
166,0.02562920544296503
167,0.025188065879046918
168,0.026099997386336327
169,0.024927529320120812
170,0.025172305293381214
171,0.0268222626298666
172,0.026943900249898435
173,0.027373785525560378
174,0.026300056464970113
175,0.028308480232954025
176,0.030992557667195796
177,0.03114592209458351
178,0.03054305799305439
179,0.03268320169299841
180,0.030966962315142156
181,0.03175727296620608
182,0.029955329932272436
183,0.02957651223987341
184,0.029891384951770305
185,0.026302579790353775
186,0.027680995129048824
187,0.024826247431337833
188,0.02532476484775543
189,0.025167002528905868
190,0.02482576072216034
191,0.025485298968851565
192,0.026373955979943277
193,0.025893662869930268
194,0.0290528180077672
195,0.028325527161359786
196,0.02822299525141716
197,0.02949280682951212
198,0.02791040427982807
199,0.027325439639389514
200,0.025108264572918416
201,0.02595766484737396
202,0.026340180821716786
203,0.025182965211570263
204,0.02561718076467514
205,0.02437817957252264
206,0.02634656857699156
207,0.02835896722972393
208,0.027880034409463406
209,0.02664549332112074
210,0.028693908266723155
211,0.028311031684279443
212,0.027346791699528694
213,0.025587497092783452
214,0.024353401735424995
215,0.02637783419340849
216,0.026976241171360014
217,0.02598345521837473
218,0.026955533400177957
219,0.026296153664588928
220,0.026768538542091845
221,0.025600262358784674
222,0.025139371305704115
223,0.026247269101440908
224,0.026074936799705028
225,0.026042504608631133
226,0.025977855920791625
227,0.02460635080933571
228,0.02563826832920313
229,0.026678265258669853
230,0.026029136404395102
231,0.025335739925503732
232,0.02663393672555685
233,0.02683955281972885
234,0.02818581536412239
235,0.02721980884671211
236,0.02746711205691099
237,0.028187138400971888
238,0.03194140736013651
239,0.03037168476730585
240,0.027619481086730957
241,0.0263383699581027
242,0.029072999954223633
243,0.027626701071858405
244,0.026886447332799435
245,0.02625403180718422
246,0.030212361738085745
247,0.03440582826733589
248,0.03975742496550083
249,0.03305349126458168
250,0.030390487052500248
251,0.02914881259202957
252,0.02732207402586937
253,0.027219060994684696
254,0.026060090586543082
255,0.027596938982605936
256,0.026786362007260322
257,0.02936846427619457
258,0.027056545577943326
259,0.026181887462735177
260,0.027639481984078885
261,0.02735093478113413
262,0.0251531770452857
263,0.025050401873886585
264,0.024619593285024166
265,0.02653265167027712
266,0.02703407909721136
267,0.026446667686104774
268,0.02759578488767147
269,0.02631563078612089
270,0.025556807592511176
271,0.02489448357373476
272,0.026625637896358967
273,0.027011640556156635
274,0.025490515679121018
275,0.028895885683596134
276,0.026750459894537927
277,0.025766987167298794
278,0.024818975664675235
279,0.02674288712441921
280,0.02890476193279028
281,0.02967451252043247
282,0.029189719073474407
283,0.02735049054026604
284,0.03022486139088869
285,0.03158143628388643
286,0.03331338483840227
287,0.03089092392474413
288,0.02738875336945057
289,0.027477705292403697
290,0.030403544753789903
291,0.029026310332119463
292,0.029276374168694018
293,0.02820134796202183
294,0.027666918747127057
295,0.02819734700024128
296,0.02751937210559845
297,0.02726520076394081
298,0.027381043136119842
299,0.026695092394948005
300,0.026788501627743246
301,0.025617252103984356
302,0.02472241222858429
303,0.0257208364084363
304,0.027443550527095795
305,0.026167035661637784
306,0.025038704462349414
307,0.02534307148307562
308,0.02769631687551737
309,0.02682131826877594
310,0.02698549535125494
311,0.026281226053833963
312,0.026855725236237048
313,0.0269201310351491
314,0.026739277131855487
315,0.02656604126095772
316,0.028847054578363895
317,0.026959912851452827
318,0.02725013792514801
319,0.02528171557933092
320,0.0256705429404974
321,0.02620136011391878
322,0.027794432640075684
323,0.027422961965203285
324,0.02587965801358223
325,0.025503251515328885
326,0.025756521336734294
327,0.027181861363351344
328,0.027612173371016978
329,0.02639511078596115
330,0.02682974599301815
331,0.029199021682143212
332,0.028152290172874926
333,0.02861804235726595
334,0.02718731313943863
335,0.027735143154859542
